Source,Timestamp,TEAM_ID,MISSION_TIME,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
cansat,2025-10-29T21:55:45.911Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,53,-93.87,1001.52,25.04,6.91,,,,,,0.11,0.03,-0.12,0.45,1.45,1.68,,,,571.58,59.23,,,-111.5,-33.8,-78.95
cansat,2025-10-29T21:55:46.903Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,54,-93.87,1001.52,25.04,6.91,,,,,,0.11,0.03,-0.12,0.45,1.45,1.68,,,,571.89,59.34,,,-111.5,-33.8,-78.95
cansat,2025-10-29T21:55:48.947Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,55,-93.87,1001.52,25.04,6.91,,,,,,0.11,0.03,0.21,0.45,1.45,1.68,,,,571.89,59.34,,,-111.5,-33.8,-78.95
cansat,2025-10-29T21:55:49.936Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,56,-93.87,1001.52,25.04,6.91,,,,,,0.11,0.03,0.21,0.45,1.45,1.68,,,,571.89,59.34,,,-111.5,-33.8,-78.95
cansat,2025-10-29T21:55:51.158Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,57,-93.87,1001.52,25.04,6.91,,,,,,0.11,0.03,0.21,0.45,1.45,1.68,,,,571.89,59.34,,,-111.5,-33.8,-78.95
cansat,2025-10-29T21:55:52.217Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,58,-93.22,1001.48,25.02,6.91,,,,,,0.11,0.03,0.21,-0.22,-0.22,0.22,,,,571.89,59.34,,,-146.42,-25.02,-102.03
cansat,2025-10-29T21:55:53.234Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,59,-93.22,1001.48,25.02,6.91,,,,,,0.11,0.03,0.21,-0.22,-0.22,0.22,,,,571.89,59.34,,,-146.42,-25.02,-102.03
