Source,Timestamp,TEAM_ID,MISSION_TIME,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
rocket,2025-10-29T22:00:16.062Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,43,-93.35,1001.58,25.19,6.92,,,,,,-0.02,-0.02,-0.06,-2.13,-1.23,-3.8,,,,59.12,571.27,,,-151.46,-33.67,-72.27
rocket,2025-10-29T22:00:17.078Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,44,-93.35,1001.58,25.19,6.92,,,,,,-0.02,-0.02,-0.06,-2.13,-1.23,-3.8,,,,59.34,571.89,,,-151.46,-33.67,-72.27
rocket,2025-10-29T22:00:19.095Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,45,-93.35,1001.58,25.19,6.92,,,,,,-0.02,-0.02,0.06,-2.13,-1.23,-3.8,,,,59.34,571.89,,,-151.46,-33.67,-72.27
rocket,2025-10-29T22:00:20.111Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,46,-93.35,1001.58,25.19,6.92,,,,,,-0.02,-0.02,0.06,-2.13,-1.23,-3.8,,,,59.34,571.89,,,-151.46,-33.67,-72.27
rocket,2025-10-29T22:00:21.328Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,47,-93.35,1001.58,25.19,6.92,,,,,,-0.02,-0.02,0.06,-2.13,-1.23,-3.8,,,,59.34,571.89,,,-151.46,-33.67,-72.27
rocket,2025-10-29T22:00:22.389Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,48,-93.44,1001.52,25.19,6.92,,,,,,-0.02,-0.02,0.06,0.67,0.56,,,,,59.34,571.89,,,-155.79,-34.17,-69.81
rocket,2025-10-29T22:00:23.408Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,49,-93.44,1001.52,25.19,6.92,,,,,,-0.02,-0.02,0.06,0.67,0.56,,,,,59.12,571.27,,,-155.79,-34.17,-69.81
rocket,2025-10-29T22:00:25.437Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,50,-93.44,1001.52,25.19,6.92,,,,,,-0.02,-0.02,0.01,0.67,0.56,,,,,59.12,571.27,,,-155.79,-34.17,-69.81
rocket,2025-10-29T22:00:26.461Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,51,-93.44,1001.52,25.19,6.92,,,,,,-0.02,-0.02,0.01,0.67,0.56,,,,,59.12,571.27,,,-155.79,-34.17,-69.81
rocket,2025-10-29T22:00:27.654Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,52,-93.44,1001.52,25.19,6.92,,,,,,-0.02,-0.02,0.01,0.67,0.56,,,,,59.12,571.27,,,-155.79,-34.17,-69.81
rocket,2025-10-29T22:00:28.754Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,53,-93.44,1001.54,25.21,6.92,,,,,,0.01,-0.04,0.01,0.67,0.56,,,,,59.12,571.27,,,-150.95,-33.99,-67.97
rocket,2025-10-29T22:00:29.775Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,54,-93.44,1001.54,25.21,6.92,,,,,,0.01,-0.04,0.01,0.67,0.56,,,,,59.12,571.27,,,-150.95,-33.99,-67.97
rocket,2025-10-29T22:00:31.785Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,55,-93.44,1001.54,25.21,6.92,,,,,,0.01,-0.04,,0.67,0.56,,,,,59.12,571.27,,,-150.95,-33.99,-67.97
rocket,2025-10-29T22:00:32.803Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,56,-93.44,1001.54,25.21,6.92,,,,,,0.01,-0.04,,0.67,0.56,,,,,59.12,571.27,,,-150.95,-33.99,-67.97
rocket,2025-10-29T22:00:34.022Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,57,-93.44,1001.54,25.21,6.92,,,,,,0.01,-0.04,,0.67,0.56,,,,,59.12,571.27,,,-150.95,-33.99,-67.97
rocket,2025-10-29T22:00:35.081Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,58,-92.68,1001.51,25.21,6.91,,,,,,0.01,-0.04,,-0.45,0.11,0.67,,,,59.12,571.27,,,-158.39,-39.03,-50.45
rocket,2025-10-29T22:00:36.098Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,59,-92.68,1001.51,25.21,6.91,,,,,,0.01,-0.04,,-0.45,0.11,0.67,,,,59.45,572.21,,,-158.39,-39.03,-50.45
